ticker,sector
VALE3.SA,Basic Materials
A1AP34.SA,Consumer Cyclical
CSED3.SA,Consumer Defensive
TFCO4F.SA,Unknown
SMAC11.SA,Unknown
DHER34.SA,Healthcare
BBDC4.SA,Financial Services
RNEW11.SA,Utilities
BRSR6Q.SA,Unknown
OPCT3F.SA,Unknown
BURT39.SA,Unknown
SEQL3F.SA,Unknown
AGRI11.SA,Unknown
KIVO11.SA,Unknown
RBIF11.SA,Unknown
MTSA4F.SA,Unknown
ITUB4F.SA,Unknown
DIRR3.SA,Real Estate
DMVF3.SA,Healthcare
SCVB11.SA,Unknown
COGN3.SA,Consumer Defensive
CTKA4.SA,Consumer Cyclical
BREW11.SA,Unknown
IRBR3F.SA,Unknown
ENEV3.SA,Utilities
JALL3.SA,Consumer Defensive
CBOP11.SA,Financial
BRAZ11.SA,Unknown
BRKM3F.SA,Unknown
BXPO11.SA,Unknown
NDIV11.SA,Unknown
NSDV11.SA,Unknown
TECN3.SA,Consumer Cyclical
PETR4.SA,Energy
BPAC3F.SA,Unknown
BLBT39.SA,Unknown
LJQQ3F.SA,Unknown
RECV3F.SA,Unknown
ENGI11.SA,Utilities
XINA11.SA,Unknown
BDOM11.SA,Unknown
NEXP3F.SA,Unknown
ESGB11.SA,Unknown
SMFT3.SA,Consumer Cyclical
FIIP11.SA,Unknown
SMAB11.SA,Unknown
ALUP11F.SA,Unknown
ROMI3.SA,Industrials
OSXB3.SA,Energy
XPBR31.SA,Financial Services
HBRE3.SA,Real Estate
ITUB3.SA,Financial Services
GFSA3.SA,Consumer Cyclical
RNDP11.SA,Financial
BEEF3.SA,Consumer Defensive
VALE3F.SA,Unknown
DASA3F.SA,Unknown
BCHI39.SA,Unknown
CEBR3F.SA,Unknown
DMVF3F.SA,Unknown
TRIS3.SA,Real Estate
ELAS11.SA,Unknown
ATMP3F.SA,Unknown
P2AT34.SA,Technology
CSNA3F.SA,Unknown
CSNA3.SA,Basic Materials
BCPX39.SA,Unknown
LIGT3F.SA,Unknown
FPAB11.SA,Real Estate
DVER11.SA,Unknown
PETZ3F.SA,Unknown
PSSA3.SA,Financial Services
CVCB3.SA,Consumer Cyclical
CMDB11.SA,Unknown
BGIP4.SA,Financial Services
NBOV11.SA,Unknown
HAGA4.SA,Industrials
DIRR3F.SA,Unknown
BRAP4F.SA,Unknown
ALOS3F.SA,Unknown
BSHY39.SA,Unknown
BAAX39.SA,Unknown
ENGI11F.SA,Unknown
RANI3.SA,Consumer Cyclical
AERI3.SA,Industrials
VULC3.SA,Consumer Cyclical
SMAL11.SA,Unknown
HYPE3F.SA,Unknown
BOVS11.SA,Unknown
BOVB11.SA,Unknown
BBSE3.SA,Financial Services
P2AX34.SA,Financial Services
MDIA3F.SA,Unknown
PIBB11.SA,Unknown
BOVX11.SA,Unknown
BBOV11.SA,Unknown
ISUS11.SA,Unknown
SPVT11.SA,Unknown
ALUP3F.SA,Unknown
EVEN3.SA,Real Estate
TGMA3.SA,Industrials
B3BR11.SA,Unknown
ABCB4.SA,Financial Services
WHRL3.SA,Consumer Cyclical
D2KN34.SA,Consumer Cyclical
E1TN34.SA,Industrials
ENJU3F.SA,Unknown
BBSE3F.SA,Unknown
DIVD11.SA,Unknown
UNIP6.SA,Basic Materials
SUZB3.SA,Basic Materials
PETR4F.SA,Unknown
PSSA3F.SA,Unknown
IBMB34.SA,Technology
B1IL34.SA,Communication Services
BOVV11.SA,Unknown
NUTR3.SA,Basic Materials
ZAMP3.SA,Consumer Cyclical
IBOB11.SA,Unknown
EAIN34.SA,Communication Services
INBR32.SA,Financial Services
XBOV11.SA,Unknown
ARXD11.SA,Unknown
BTAG11.SA,Unknown
LVOL11.SA,Unknown
BTYU11.SA,Unknown
MDIA3.SA,Consumer Defensive
BDEF11.SA,Unknown
BPAC3.SA,Financial Services
BPAC11.SA,Financial Services
BOVA11.SA,Unknown
BLAU3.SA,Healthcare
EQPA3.SA,Utilities
GOLL4.SA,Industrials
HAPV3F.SA,Unknown
CMIG3F.SA,Unknown
Z2SC34.SA,Unknown
VIVT3F.SA,Unknown
ARMT34.SA,Basic Materials
BMKS3.SA,Consumer Cyclical
KFOF11.SA,Financial
ORVR3F.SA,Unknown
AURE3F.SA,Unknown
